RCP Average,11/24 - 12/10,--,43.1,51.9,-8.8
CNN,12/6 - 12/9,RV,40,53,-13
Rasmussen Reports,12/6 - 12/10,1500 LV,49,49,0
Gallup,12/3 - 12/9,1500 A,40,56,-16
Economist/YouGov,12/2 - 12/4,1286 RV,46,52,-6
NPR/PBS/Marist,11/28 - 12/4,835 RV,43,49,-6
Reuters/Ipsos,11/28 - 12/4,2401 A,41,52,-11
Gallup,11/26 - 12/2,1500 A,40,56,-16
IBD/TIPP,11/26 - 12/2,823 A,39,55,-16
Economist/YouGov,11/25 - 11/27,1293 RV,45,53,-8
Harvard-Harris,11/25 - 11/26,1407 RV,46,54,-8
Grinnell/Selzer,11/24 - 11/27,828 LV,44,47,-3
Reuters/Ipsos,11/21 - 11/27,2289 A,44,51,-7
Gallup,11/19 - 11/25,1500 A,38,60,-22
Economist/YouGov,11/18 - 11/20,1328 RV,45,53,-8
Reuters/Ipsos,11/14 - 11/20,2232 A,44,51,-7
Quinnipiac,11/14 - 11/19,1046 RV,41,54,-13
CBS News,11/15 - 11/18,1103 A,39,55,-16
Gallup,11/12 - 11/18,1500 A,43,53,-10
Economist/YouGov,11/11 - 11/13,1284 RV,45,54,-9
Monmouth,11/9 - 11/12,716 RV,44,49,-5
Reuters/Ipsos,11/7 - 11/13,2149 A,43,53,-10
Gallup,11/5 - 11/11,1500 A,38,56,-18
Economist/YouGov,11/4 - 11/6,1290 RV,45,52,-7
CNN,11/1 - 11/3,1151 LV,41,57,-16
NBC News/Wall St. Jrnl,11/1 - 11/3,774 LV,46,52,-6
Gallup,10/29 - 11/4,1500 A,40,54,-14
ABC News/Wash Post,10/29 - 11/1,1041 RV,44,52,-8
Economist/YouGov,10/28 - 10/30,1296 RV,44,52,-8
NPR/PBS/Marist,10/28 - 10/29,509 LV,41,53,-12
IBD/TIPP,10/25 - 11/3,900 A,40,53,-13
Harvard-Harris,10/26 - 10/28,1835 RV,44,56,-12
Reuters/Ipsos,10/24 - 10/30,1383 LV,45,54,-9
Gallup,10/22 - 10/28,1500 A,40,54,-14
Economist/YouGov,10/21 - 10/23,1233 RV,45,52,-7
NPR/PBS/Marist,10/21 - 10/23,738 RV,41,53,-12
USA Today/Suffolk,10/18 - 10/22,1000 LV,43,54,-11
Reuters/Ipsos,10/17 - 10/23,2062 LV,46,52,-6
Gallup,10/15 - 10/21,1500 A,44,50,-6
NBC News/Wall St. Jrnl,10/14 - 10/17,645 LV,45,52,-7
CBS News,10/14 - 10/17,RV,42,53,-11
Economist/YouGov,10/14 - 10/16,1273 RV,45,52,-7
FOX News,10/13 - 10/16,841 LV,47,52,-5
Reuters/Ipsos,10/10 - 10/16,1194 LV,45,54,-9
Gallup,10/8 - 10/14,1500 A,44,51,-7
ABC News/Wash Post,10/8 - 10/11,991 RV,43,53,-10
Economist/YouGov,10/7 - 10/9,1162 RV,43,53,-10
Reuters/Ipsos,10/3 - 10/9,2012 LV,42,57,-15
Rasmussen Reports,10/7 - 10/9,1500 LV,49,49,0
CNBC,10/4 - 10/7,800 A,41,49,-8
CNN,10/4 - 10/7,920 RV,43,52,-9
Gallup,10/1 - 10/7,1500 A,43,53,-10
Emerson,10/1 - 10/4,1000 RV,43,50,-7
NPR/PBS/Marist,10/1 - 10/1,996 RV,43,53,-10
Economist/YouGov,9/30 - 10/2,1227 RV,44,53,-9
IBD/TIPP,9/27 - 10/3,905 A,40,54,-14
Rasmussen Reports,9/30 - 10/2,1500 LV,49,50,-1
Reuters/Ipsos,9/26 - 10/2,1840 LV,43,55,-12
Harvard-Harris,9/29 - 9/30,1330 RV,45,55,-10
Quinnipiac,9/27 - 9/30,1111 RV,41,53,-12
Gallup,9/24 - 9/30,1500 A,42,53,-11
Harvard-Harris,9/26 - 9/27,1228 RV,46,54,-8
Economist/YouGov,9/23 - 9/25,1238 RV,44,53,-9
NPR/PBS/Marist,9/22 - 9/24,802 RV,44,49,-5
Rasmussen Reports,9/23 - 9/25,1500 LV,47,51,-4
Reuters/Ipsos,9/19 - 9/25,1425 LV,45,53,-8
Pew Research,9/18 - 9/24,1439 RV,40,55,-15
Gallup,9/17 - 9/23,1500 A,40,56,-16
FOX News,9/16 - 9/19,818 LV,46,52,-6
NBC News/Wall St. Jrnl,9/16 - 9/19,900 RV,44,52,-8
Economist/YouGov,9/16 - 9/18,1195 RV,44,53,-9
Rasmussen Reports,9/16 - 9/18,1500 LV,47,52,-5
Reuters/Ipsos,9/12 - 9/18,1304 LV,47,52,-5
Gallup,9/10 - 9/16,1500 A,38,56,-18
Economist/YouGov,9/9 - 9/11,1220 RV,44,52,-8
Rasmussen Reports,9/9 - 9/11,1500 LV,45,53,-8
Reuters/Ipsos,9/5 - 9/11,1226 LV,43,56,-13
Quinnipiac,9/6 - 9/9,1038 RV,38,54,-16
CNN,9/6 - 9/9,923 RV,37,57,-20
NPR/Marist,9/5 - 9/9,777 RV,38,54,-16
Gallup,9/3 - 9/9,1500 A,40,54,-14
Economist/YouGov,9/2 - 9/4,1254 RV,43,54,-11
Reuters/Ipsos,8/29 - 9/4,2012 RV,42,55,-13
Rasmussen Reports,9/2 - 9/4,1500 LV,44,54,-10
Grinnell/Selzer,8/29 - 9/2,779 LV,43,50,-7
Gallup,8/27 - 9/2,1500 A,41,53,-12
Emerson,8/29 - 8/31,1000 RV,38,53,-15
ABC News/Wash Post,8/26 - 8/29,879 RV,38,60,-22
Economist/YouGov,8/26 - 8/28,1249 RV,43,52,-9
IBD/TIPP,8/23 - 8/30,902 A,36,56,-20
Rasmussen Reports,8/26 - 8/28,1500 LV,47,53,-6
USA Today/Suffolk,8/23 - 8/28,1000 RV,40,56,-16
Reuters/Ipsos,8/22 - 8/28,2920 RV,40,57,-17
NBC News/Wall St. Jrnl,8/22 - 8/25,600 RV,44,52,-8
Harvard-Harris,8/22 - 8/23,1330 RV,46,54,-8
Gallup,8/20 - 8/26,1500 A,41,54,-13
NBC News/Wall St. Jrnl,8/18 - 8/22,900 RV,46,51,-5
Economist/YouGov,8/19 - 8/21,1247 RV,44,52,-8
FOX News,8/19 - 8/21,1009 RV,45,53,-8
Reuters/Ipsos,8/15 - 8/21,1885 RV,43,54,-11
Rasmussen Reports,8/19 - 8/21,1500 LV,46,52,-6
Monmouth,8/15 - 8/19,725 RV,43,51,-8
Gallup,8/13 - 8/19,1500 A,42,52,-10
Economist/YouGov,8/12 - 8/14,1250 RV,46,50,-4
Reuters/Ipsos,8/8 - 8/14,1860 RV,44,52,-8
Quinnipiac,8/9 - 8/13,1175 RV,41,54,-13
Rasmussen Reports,8/12 - 8/14,1500 LV,49,49,0
CNN,8/9 - 8/12,921 RV,44,53,-9
Gallup,8/6 - 8/12,1500 A,39,56,-17
Economist/YouGov,8/5 - 8/7,1289 RV,44,51,-7
Reuters/Ipsos,8/3 - 8/7,1479 RV,45,52,-7
Rasmussen Reports,8/5 - 8/7,1500 LV,47,51,-4
Gallup,7/30 - 8/5,1500 A,41,54,-13
Economist/YouGov,7/29 - 7/31,1222 RV,43,53,-10
IBD/TIPP,7/26 - 8/2,900 A,41,50,-9
Rasmussen Reports,7/29 - 7/31,1500 LV,48,50,-2
Reuters/Ipsos,7/27 - 7/31,1571 RV,44,54,-10
Gallup,7/23 - 7/29,1500 A,40,55,-15
Harvard-Harris,7/24 - 7/25,1323 RV,45,55,-10
Economist/YouGov,7/22 - 7/24,1203 RV,43,54,-11
Rasmussen Reports,7/22 - 7/24,1500 LV,46,52,-6
Reuters/Ipsos,7/20 - 7/24,1165 RV,44,53,-9
NPR/PBS/Marist,7/19 - 7/22,923 RV,41,51,-10
Quinnipiac,7/18 - 7/23,1177 RV,38,58,-20
Gallup,7/16 - 7/22,1500 A,42,54,-12
NBC News/Wall St. Jrnl,7/15 - 7/18,900 RV,45,52,-7
Economist/YouGov,7/15 - 7/17,1272 RV,44,52,-8
Rasmussen Reports,7/15 - 7/17,1500 LV,44,54,-10
Reuters/Ipsos,7/13 - 7/17,2357 RV,42,54,-12
Gallup,7/9 - 7/15,1500 A,43,52,-9
FOX News,7/9 - 7/11,1007 RV,46,51,-5
Economist/YouGov,7/8 - 7/10,1246 RV,43,52,-9
Rasmussen Reports,7/8 - 7/10,1500 LV,47,51,-4
Reuters/Ipsos,7/6 - 7/10,1295 RV,41,57,-16
Emerson,7/6 - 7/7,900 RV,43,50,-7
Gallup,7/1 - 7/8,1500 A,41,56,-15
Economist/YouGov,7/1 - 7/3,1263 RV,45,51,-6
Reuters/Ipsos,6/28 - 7/2,2252 RV,43,54,-11
Quinnipiac,6/27 - 7/1,1020 RV,40,55,-15
Gallup,6/25 - 7/1,1500 A,42,53,-11
Economist/YouGov,6/24 - 6/26,1278 RV,43,52,-9
Harvard-Harris,6/24 - 6/25,1448 RV,47,53,-6
IBD/TIPP,6/21 - 6/29,900 A,41,54,-13
Reuters/Ipsos,6/22 - 6/26,1199 RV,45,51,-6
Rasmussen Reports,6/24 - 6/26,1500 LV,45,54,-9
Gallup,6/18 - 6/24,1500 A,41,55,-14
Economist/YouGov,6/17 - 6/19,1272 RV,44,50,-6
CNBC,6/16 - 6/19,800 A,41,47,-6
Rasmussen Reports,6/17 - 6/19,1500 LV,48,50,-2
Reuters/Ipsos,6/15 - 6/19,1604 RV,44,53,-9
CBS News,6/14 - 6/17,1100 A,42,52,-10
USA Today/Suffolk,6/13 - 6/18,1000 RV,43,51,-8
Quinnipiac,6/14 - 6/17,905 RV,43,52,-9
CNN,6/14 - 6/17,901 RV,41,54,-13
Gallup,6/11 - 6/17,1500 A,45,50,-5
Monmouth,6/12 - 6/13,711 RV,45,46,-1
Economist/YouGov,6/10 - 6/12,1308 RV,45,51,-6
Reuters/Ipsos,6/8 - 6/12,2018 RV,43,54,-11
Rasmussen Reports,6/10 - 6/12,1500 LV,49,49,0
PPP (D),6/8 - 6/10,679 RV,39,54,-15
Pew Research,6/5 - 6/12,1608 RV,42,53,-11
Gallup,6/4 - 6/10,1500 A,42,54,-12
FOX News,6/3 - 6/6,1001 RV,45,51,-6
Economist/YouGov,6/3 - 6/5,1292 RV,42,54,-12
Reuters/Ipsos,6/1 - 6/5,1265 RV,40,57,-17
NBC News/Wall St. Jrnl,6/1 - 6/4,900 RV,44,53,-9
Rasmussen Reports,6/3 - 6/5,1500 LV,49,49,0
Quinnipiac,5/31 - 6/5,1223 RV,40,51,-11
IBD/TIPP,5/29 - 6/5,905 A,36,55,-19
Gallup,5/28 - 6/3,1500 A,41,55,-14
Economist/YouGov,5/27 - 5/29,1279 RV,45,51,-6
Reuters/Ipsos,5/25 - 5/29,1931 RV,44,53,-9
Rasmussen Reports,5/27 - 5/29,1500 LV,47,52,-5
Gallup,5/21 - 5/27,1500 A,40,55,-15
Harvard-Harris,5/21 - 5/22,1347 RV,45,55,-10
Rasmussen Reports,5/20 - 5/22,1500 LV,48,51,-3
Economist/YouGov,5/20 - 5/22,1263 RV,41,54,-13
Reuters/Ipsos,5/18 - 5/22,1080 RV,47,51,-4
Gallup,5/14 - 5/20,1500 A,42,54,-12
Economist/YouGov,5/13 - 5/15,1231 RV,44,52,-8
Rasmussen Reports,5/13 - 5/15,1500 LV,48,50,-2
Reuters/Ipsos,5/11 - 5/15,1290 RV,46,53,-7
Gallup,5/7 - 5/13,1500 A,43,52,-9
Economist/YouGov,5/6 - 5/8,1232 RV,44,52,-8
Rasmussen Reports,5/6 - 5/8,1500 LV,47,51,-4
Reuters/Ipsos,5/4 - 5/8,1171 RV,45,53,-8
CBS News,5/3 - 5/6,1101 A,40,55,-15
CNN,5/2 - 5/5,901 RV,44,51,-7
Gallup,4/30 - 5/6,1500 A,42,52,-10
IBD/TIPP,4/26 - 5/4,900 A,38,56,-18
Economist/YouGov,4/29 - 5/1,1273 RV,44,53,-9
Reuters/Ipsos,4/27 - 5/1,1337 RV,49,49,0
Pew Research,4/25 - 5/1,1221 RV,42,54,-12
Monmouth,4/26 - 4/30,681 RV,45,48,-3
Rasmussen Reports,4/29 - 5/1,1500 LV,49,49,0
Gallup,4/23 - 4/29,1500 A,42,53,-11
Harvard-Harris,4/22 - 4/24,1549 RV,44,56,-12
FOX News,4/22 - 4/24,1014 RV,44,53,-9
Economist/YouGov,4/22 - 4/24,1270 RV,43,53,-10
Rasmussen Reports,4/22 - 4/24,1500 LV,48,50,-2
Quinnipiac,4/20 - 4/24,1193 RV,39,54,-15
Reuters/Ipsos,4/20 - 4/24,1248 RV,41,55,-14
Gallup,4/16 - 4/18,1500 A,38,57,-19
Economist/YouGov,4/15 - 4/17,1274 RV,42,55,-13
Rasmussen Reports,4/15 - 4/17,1500 LV,50,49,1
Reuters/Ipsos,4/13 - 4/17,1238 RV,41,56,-15
NPR/PBS/Marist,4/10 - 4/13,827 RV,39,54,-15
Gallup,4/9 - 4/15,1500 A,39,55,-16
ABC News/Wash Post,4/8 - 4/11,865 RV,44,54,-10
NBC News/Wall St. Jrnl,4/8 - 4/11,900 A,39,57,-18
Economist/YouGov,4/8 - 4/10,1292 RV,42,53,-11
Rasmussen Reports,4/8 - 4/10,1500 LV,49,50,-1
Reuters/Ipsos,4/6 - 4/10,1219 RV,39,58,-19
Quinnipiac,4/6 - 4/9,1181 RV,41,52,-11
Gallup,4/2 - 4/8,1500 A,41,54,-13
Economist/YouGov,4/1 - 4/3,1246 RV,41,55,-14
Rasmussen Reports,4/1 - 4/3,1500 LV,51,48,3
Reuters/Ipsos,3/30 - 4/3,1519 RV,41,56,-15
Harvard-Harris,3/27 - 3/29,1340 RV,44,56,-12
Gallup,3/25 - 3/31,1500 A,39,55,-16
Economist/YouGov,3/25 - 3/27,1330 RV,41,54,-13
Reuters/Ipsos,3/23 - 3/27,1392 RV,41,55,-14
Rasmussen Reports,3/25 - 3/27,1500 LV,45,53,-8
IBD/TIPP,3/22 - 3/29,902 A,38,56,-18
CNN,3/22 - 3/25,913 RV,43,53,-10
PPP (D),3/23 - 3/25,846 RV,39,54,-15
Gallup,3/19 - 3/25,1500 A,39,55,-16
Marist,3/19 - 3/21,1015 RV,42,51,-9
FOX News,3/18 - 3/21,1014 RV,45,52,-7
Economist/YouGov,3/18 - 3/20,1284 RV,41,54,-13
CNBC,3/17 - 3/20,801 A,39,50,-11
Quinnipiac,3/16 - 3/20,1291 RV,40,53,-13
Reuters/Ipsos,3/16 - 3/20,1337 RV,44,52,-8
Rasmussen Reports,3/18 - 3/20,1500 LV,47,52,-5
Gallup,3/12 - 3/18,1500 A,40,56,-16
NBC News/Wall St. Jrnl,3/10 - 3/14,1100 A,43,53,-10
Economist/YouGov,3/10 - 3/13,1291 RV,42,54,-12
Pew Research,3/7 - 3/14,RV,42,53,-11
Rasmussen Reports,3/11 - 3/13,1500 LV,47,52,-5
Reuters/Ipsos,3/9 - 3/13,1411 A,39,56,-17
CBS News,3/8 - 3/11,1223 A,38,57,-19
Gallup,3/5 - 3/11,1500 A,39,56,-17
GWU/Battleground,3/4 - 3/8,1000 RV,42,55,-13
Marist,3/5 - 3/6,867 RV,44,49,-5
Economist/YouGov,3/4 - 3/6,1310 RV,41,54,-13
Quinnipiac,3/3 - 3/5,1122 RV,38,56,-18
Monmouth,3/2 - 3/5,708 RV,40,54,-14
Reuters/Ipsos,3/2 - 3/6,2927 A,40,54,-14
Rasmussen Reports,3/4 - 3/6,1500 LV,46,53,-7
Gallup,2/26 - 3/4,1500 A,39,55,-16
IBD/TIPP,2/22 - 3/1,901 A,37,58,-21
Economist/YouGov,2/25 - 2/27,1296 RV,44,53,-9
Reuters/Ipsos,2/23 - 2/27,1651 A,40,56,-16
Rasmussen Reports,2/25 - 2/27,1500 LV,49,50,-1
Gallup,2/19 - 2/25,1500 A,39,56,-17
USA Today/Suffolk,2/20 - 2/24,1000 RV,38,60,-22
CNN,2/20 - 2/23,909 RV,39,56,-17
Marist,2/20 - 2/21,819 RV,40,53,-13
Economist/YouGov,2/18 - 2/20,1308 RV,44,51,-7
Rasmussen Reports,2/18 - 2/20,1500 LV,48,51,-3
Reuters/Ipsos,2/16 - 2/20,1104 A,40,55,-15
Quinnipiac,2/16 - 2/19,1249 RV,37,58,-21
Harvard-Harris,2/16 - 2/19,1934 RV,45,55,-10
Gallup,2/12 - 2/18,1500 A,37,59,-22
Economist/YouGov,2/11 - 2/13,1280 RV,45,50,-5
FOX News,2/10 - 2/13,1005 RV,43,53,-10
Rasmussen Reports,2/11 - 2/13,1500 LV,47,52,-5
Reuters/Ipsos,2/9 - 2/13,1515 A,39,54,-15
PPP (D),2/9 - 2/11,687 RV,44,50,-6
Gallup,2/5 - 2/11,1500 A,40,57,-17
Marist,2/5 - 2/7,807 RV,39,56,-17
Economist/YouGov,2/4 - 2/6,1320 RV,45,53,-8
Reuters/Ipsos,2/2 - 2/6,3110 A,40,54,-14
Rasmussen Reports,2/4 - 2/6,1500 LV,48,51,-3
Quinnipiac,2/2 - 2/5,1333 RV,40,55,-15
Gallup,1/29 - 2/4,1500 A,40,57,-17
IBD/TIPP,1/25 - 2/2,900 A,35,58,-23
Monmouth,1/28 - 1/30,711 RV,44,48,-4
Economist/YouGov,1/28 - 1/30,1264 RV,44,53,-9
Rasmussen Reports,1/28 - 1/30,1500 LV,44,54,-10
Reuters/Ipsos,1/26 - 1/30,1856 A,41,53,-12
Gallup,1/21 - 1/28,1500 A,38,58,-20
FOX News,1/21 - 1/23,1002 RV,45,53,-8
Economist/YouGov,1/21 - 1/23,1301 RV,43,54,-11
Reuters/Ipsos,1/19 - 1/23,2981 A,37,59,-22
Quinnipiac,1/19 - 1/23,1245 RV,36,58,-22
Rasmussen Reports,1/21 - 1/23,1500 LV,44,55,-11
Gallup,1/15 - 1/21,1500 A,36,59,-23
Harvard-Harris,1/17 - 1/19,980 RV,44,56,-12
ABC News/Wash Post,1/15 - 1/18,846 RV,38,58,-20
CNN,1/14 - 1/18,RV,43,53,-10
Economist/YouGov,1/14 - 1/16,1311 RV,42,54,-12
NBC News/Wall St. Jrnl,1/13 - 1/17,900 A,39,57,-18
Harvard-Harris,1/13 - 1/16,1192 RV,42,58,-16
CBS News,1/13 - 1/16,1225 A,37,58,-21
Quinnipiac,1/12 - 1/16,1212 RV,38,57,-19
Reuters/Ipsos,1/12 - 1/16,1638 A,39,56,-17
Rasmussen Reports,1/14 - 1/16,1500 LV,45,54,-9
Pew Research,1/10 - 1/15,1215 RV,39,55,-16
