Date,Approval Index,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove
10-Dec-18,-7,35%,42%,48%,51%
07-Dec-18,-5,36%,41%,50%,49%
06-Dec-18,-6,36%,42%,49%,50%
05-Dec-18,-5,35%,40%,50%,48%
04-Dec-18,-11,33%,44%,48%,51%
03-Dec-18,-10,33%,43%,48%,50%
30-Nov-18,-9,34%,43%,47%,51%
29-Nov-18,-9,33%,42%,47%,51%
28-Nov-18,-6,34%,40%,48%,50%
27-Nov-18,-5,35%,40%,49%,49%
,,,,,
,,,,,
,,,,,
21-Nov-18,-4,36%,40%,51%,48%
20-Nov-18,-5,36%,41%,50%,49%
19-Nov-18,-5,36%,41%,50%,49%
16-Nov-18,-5,36%,41%,49%,50%
15-Nov-18,-5,36%,41%,48%,50%
14-Nov-18,-8,33%,41%,46%,52%
13-Nov-18,-9,34%,43%,46%,52%
12-Nov-18,-9,35%,44%,46%,52%
09-Nov-18,-6,37%,43%,48%,50%
08-Nov-18,-5,37%,42%,48%,50%
07-Nov-18,-5,36%,41%,48%,50%
06-Nov-18,-7,35%,42%,48%,50%
05-Nov-18,-5,36%,41%,50%,49%
02-Nov-18,-3,37%,40%,51%,47%
01-Nov-18,-6,36%,42%,49%,50%
31-Oct-18,-7,35%,42%,49%,50%
30-Oct-18,-8,35%,43%,48%,51%
29-Oct-18,-8,35%,43%,50%,49%
26-Oct-18,-9,35%,44%,48%,51%
25-Oct-18,-9,35%,44%,47%,51%
24-Oct-18,-8,35%,43%,46%,52%
23-Oct-18,-7,35%,42%,48%,51%
22-Oct-18,-9,34%,43%,47%,52%
19-Oct-18,-9,33%,42%,47%,52%
18-Oct-18,-9,34%,43%,47%,52%
17-Oct-18,-5,35%,40%,49%,50%
16-Oct-18,-2,37%,39%,51%,48%
15-Oct-18,-2,37%,39%,51%,49%
12-Oct-18,-4,37%,41%,49%,50%
11-Oct-18,-5,37%,42%,49%,50%
10-Oct-18,-4,36%,40%,49%,49%
09-Oct-18,-1,38%,39%,51%,47%
08-Oct-18,0,38%,38%,51%,47%
05-Oct-18,-1,38%,39%,51%,48%
04-Oct-18,-3,37%,40%,50%,49%
03-Oct-18,-5,36%,41%,49%,50%
02-Oct-18,-7,34%,41%,48%,50%
01-Oct-18,-8,34%,42%,48%,50%
28-Sep-18,-7,35%,42%,47%,51%
27-Sep-18,-9,35%,44%,47%,52%
26-Sep-18,-9,35%,44%,47%,51%
25-Sep-18,-7,36%,43%,47%,50%
24-Sep-18,-6,36%,42%,49%,50%
21-Sep-18,-7,36%,43%,49%,50%
20-Sep-18,-10,33%,43%,48%,50%
19-Sep-18,-12,32%,44%,47%,52%
18-Sep-18,-10,33%,43%,48%,51%
17-Sep-18,-8,34%,42%,49%,50%
14-Sep-18,-9,34%,43%,47%,51%
13-Sep-18,-10,33%,43%,46%,52%
12-Sep-18,-12,32%,44%,45%,53%
11-Sep-18,-9,33%,42%,47%,51%
10-Sep-18,-10,33%,43%,48%,51%
07-Sep-18,-11,32%,43%,48%,52%
06-Sep-18,-12,32%,44%,46%,53%
05-Sep-18,-12,32%,44%,44%,54%
04-Sep-18,-11,33%,44%,45%,53%
03-Sep-18,-7,35%,42%,47%,51%
31-Aug-18,-7,35%,42%,48%,50%
30-Aug-18,-5,36%,41%,48%,51%
29-Aug-18,-7,35%,42%,47%,53%
28-Aug-18,-9,33%,42%,46%,53%
27-Aug-18,-12,31%,43%,46%,54%
24-Aug-18,-12,32%,44%,46%,53%
23-Aug-18,-10,33%,43%,46%,52%
22-Aug-18,-10,33%,43%,46%,52%
21-Aug-18,-11,33%,44%,46%,53%
20-Aug-18,-11,32%,43%,48%,52%
17-Aug-18,-10,33%,43%,48%,51%
16-Aug-18,-8,33%,41%,49%,50%
15-Aug-18,-6,35%,41%,49%,49%
14-Aug-18,-5,35%,40%,50%,49%
13-Aug-18,-8,33%,41%,48%,50%
10-Aug-18,-11,32%,43%,46%,52%
09-Aug-18,-10,33%,43%,47%,51%
08-Aug-18,-10,33%,43%,47%,51%
07-Aug-18,-8,34%,42%,47%,51%
06-Aug-18,-9,33%,42%,47%,51%
03-Aug-18,-7,34%,41%,48%,50%
02-Aug-18,-6,35%,41%,50%,49%
01-Aug-18,-7,34%,41%,48%,50%
31-Jul-18,-8,35%,43%,48%,50%
30-Jul-18,-9,34%,43%,47%,51%
27-Jul-18,-10,33%,43%,46%,52%
26-Jul-18,-12,32%,44%,46%,53%
25-Jul-18,-12,32%,44%,46%,52%
24-Jul-18,-11,33%,44%,46%,53%
23-Jul-18,-10,33%,43%,46%,53%
20-Jul-18,-14,31%,45%,44%,55%
19-Jul-18,-14,31%,45%,45%,54%
18-Jul-18,-15,31%,46%,44%,54%
17-Jul-18,-11,33%,44%,46%,53%
16-Jul-18,-13,33%,46%,45%,54%
13-Jul-18,-11,33%,44%,46%,53%
12-Jul-18,-13,31%,44%,46%,52%
11-Jul-18,-11,31%,42%,47%,51%
10-Jul-18,-9,32%,41%,47%,51%
09-Jul-18,-9,32%,41%,47%,52%
06-Jul-18,-8,33%,41%,47%,52%
,,,,,
,,,,,
03-Jul-18,-6,34%,40%,48%,51%
02-Jul-18,-5,35%,40%,48%,51%
29-Jun-18,-7,34%,41%,47%,52%
28-Jun-18,-9,33%,42%,46%,53%
27-Jun-18,-12,31%,43%,45%,54%
26-Jun-18,-10,32%,42%,46%,52%
25-Jun-18,-10,33%,43%,46%,52%
22-Jun-18,-8,34%,42%,46%,52%
21-Jun-18,-10,33%,43%,46%,52%
20-Jun-18,-7,34%,41%,48%,50%
19-Jun-18,-6,34%,40%,48%,50%
18-Jun-18,-6,34%,40%,48%,50%
15-Jun-18,-8,34%,42%,47%,51%
14-Jun-18,-6,34%,40%,49%,49%
13-Jun-18,-4,35%,39%,49%,49%
12-Jun-18,-5,34%,39%,49%,50%
11-Jun-18,-8,32%,40%,47%,52%
08-Jun-18,-7,33%,40%,47%,51%
07-Jun-18,-7,33%,40%,49%,49%
06-Jun-18,-8,32%,40%,49%,49%
05-Jun-18,-8,33%,41%,48%,50%
04-Jun-18,-8,33%,41%,48%,50%
01-Jun-18,-7,34%,41%,48%,50%
31-May-18,-11,31%,42%,47%,52%
30-May-18,-9,31%,40%,47%,52%
29-May-18,-8,32%,40%,48%,51%
28-May-18,-5,34%,39%,49%,50%
25-May-18,-5,35%,40%,49%,50%
24-May-18,-4,36%,40%,49%,50%
23-May-18,-8,35%,43%,48%,51%
22-May-18,-7,35%,42%,50%,49%
21-May-18,-11,33%,44%,47%,51%
18-May-18,-7,33%,40%,50%,49%
17-May-18,-6,33%,39%,49%,50%
16-May-18,-6,33%,39%,48%,50%
15-May-18,-7,33%,40%,47%,52%
14-May-18,-6,34%,40%,47%,52%
11-May-18,-3,35%,38%,49%,49%
10-May-18,-5,34%,39%,48%,50%
09-May-18,-6,33%,39%,47%,51%
08-May-18,-9,32%,41%,47%,51%
07-May-18,-7,33%,40%,49%,49%
04-May-18,-7,33%,40%,51%,49%
03-May-18,-7,33%,40%,50%,49%
02-May-18,-7,32%,39%,49%,49%
01-May-18,-6,34%,40%,48%,50%
30-Apr-18,-7,34%,41%,47%,52%
27-Apr-18,-7,35%,42%,47%,52%
26-Apr-18,-9,33%,42%,47%,52%
25-Apr-18,-7,33%,40%,48%,50%
24-Apr-18,-9,32%,41%,48%,50%
23-Apr-18,-9,33%,42%,48%,50%
20-Apr-18,-9,33%,42%,49%,50%
19-Apr-18,-10,32%,42%,48%,51%
18-Apr-18,-8,33%,41%,50%,49%
17-Apr-18,-8,33%,41%,49%,50%
16-Apr-18,-4,35%,39%,51%,48%
13-Apr-18,-6,34%,40%,50%,49%
12-Apr-18,-8,32%,40%,50%,49%
11-Apr-18,-8,32%,40%,49%,50%
10-Apr-18,-11,31%,42%,48%,51%
09-Apr-18,-11,31%,42%,48%,52%
06-Apr-18,-12,30%,42%,47%,52%
05-Apr-18,-11,30%,41%,47%,51%
04-Apr-18,-5,33%,38%,51%,48%
03-Apr-18,-6,34%,40%,49%,50%
02-Apr-18,-6,33%,39%,50%,49%
30-Mar-18,-10,31%,41%,47%,52%
29-Mar-18,-13,29%,42%,45%,53%
28-Mar-18,-13,29%,42%,45%,53%
27-Mar-18,-13,30%,43%,46%,53%
26-Mar-18,-12,30%,42%,46%,52%
23-Mar-18,-13,30%,43%,46%,52%
22-Mar-18,-12,30%,42%,47%,52%
21-Mar-18,-14,29%,43%,46%,52%
20-Mar-18,-13,30%,43%,47%,52%
19-Mar-18,-12,31%,43%,47%,52%
16-Mar-18,-11,31%,42%,47%,52%
15-Mar-18,-12,30%,42%,46%,53%
14-Mar-18,-11,30%,41%,47%,52%
13-Mar-18,-9,31%,40%,48%,51%
12-Mar-18,-12,31%,43%,45%,53%
09-Mar-18,-14,30%,44%,44%,54%
08-Mar-18,-15,30%,45%,45%,54%
07-Mar-18,-11,32%,43%,46%,53%
06-Mar-18,-10,32%,42%,48%,52%
05-Mar-18,-9,32%,41%,48%,52%
02-Mar-18,-6,33%,39%,49%,50%
01-Mar-18,-6,33%,39%,49%,50%
28-Feb-18,-5,34%,39%,49%,50%
27-Feb-18,-4,35%,39%,50%,48%
26-Feb-18,-6,35%,41%,49%,49%
23-Feb-18,-7,34%,41%,50%,49%
22-Feb-18,-11,32%,43%,48%,51%
21-Feb-18,-12,31%,43%,48%,51%
20-Feb-18,-14,31%,45%,46%,53%
19-Feb-18,-13,31%,44%,47%,52%
16-Feb-18,-11,32%,43%,47%,52%
15-Feb-18,-10,32%,42%,48%,51%
14-Feb-18,-11,31%,42%,47%,52%
13-Feb-18,-7,33%,40%,48%,50%
12-Feb-18,-7,34%,41%,48%,50%
09-Feb-18,-7,35%,42%,49%,50%
08-Feb-18,-9,34%,43%,48%,50%
07-Feb-18,-8,34%,42%,48%,51%
06-Feb-18,-6,35%,41%,49%,50%
05-Feb-18,-4,35%,39%,49%,49%
02-Feb-18,-3,35%,38%,49%,49%
01-Feb-18,-11,31%,42%,45%,53%
31-Jan-18,-14,30%,44%,44%,54%
30-Jan-18,-15,29%,44%,43%,56%
29-Jan-18,-14,29%,43%,43%,56%
26-Jan-18,-12,30%,42%,44%,55%
25-Jan-18,-15,29%,44%,45%,54%
24-Jan-18,-16,29%,45%,44%,55%
23-Jan-18,-18,29%,47%,43%,57%
22-Jan-18,-18,28%,46%,42%,56%
19-Jan-18,-14,30%,44%,45%,54%
18-Jan-18,-16,28%,44%,45%,54%
17-Jan-18,-16,29%,45%,45%,54%
16-Jan-18,-16,29%,45%,45%,54%
15-Jan-18,-13,31%,44%,46%,52%
12-Jan-18,-13,30%,43%,46%,53%
11-Jan-18,-13,29%,42%,45%,53%
10-Jan-18,-14,30%,44%,44%,55%
09-Jan-18,-17,28%,45%,43%,56%
08-Jan-18,-16,30%,46%,42%,56%
05-Jan-18,-15,29%,44%,44%,54%
04-Jan-18,-12,31%,43%,45%,53%
03-Jan-18,-15,29%,44%,44%,54%
,,,,,
,,,,,
29-Dec-17,-15,29%,44%,45%,53%
28-Dec-17,-15,29%,44%,46%,53%
27-Dec-17,-15,29%,44%,45%,53%
,,,,,
,,,,,
22-Dec-17,-15,29%,44%,44%,54%
21-Dec-17,-15,29%,44%,43%,55%
20-Dec-17,-16,29%,45%,44%,54%
19-Dec-17,-17,29%,46%,43%,55%
18-Dec-17,-17,29%,46%,42%,55%
15-Dec-17,-19,28%,47%,40%,57%
14-Dec-17,-19,28%,47%,41%,57%
13-Dec-17,-19,28%,47%,41%,57%
12-Dec-17,-18,28%,46%,41%,57%
11-Dec-17,-16,29%,45%,42%,56%
08-Dec-17,-19,28%,47%,42%,56%
07-Dec-17,-17,30%,47%,44%,55%
06-Dec-17,-18,29%,47%,42%,56%
05-Dec-17,-14,30%,44%,43%,55%
04-Dec-17,-17,28%,45%,42%,56%
01-Dec-17,-18,28%,46%,44%,55%
30-Nov-17,-20,28%,48%,42%,56%
29-Nov-17,-21,27%,48%,41%,57%
28-Nov-17,-20,27%,47%,42%,56%
27-Nov-17,-20,27%,47%,43%,55%
,,,,,
,,,,,
22-Nov-17,-18,27%,45%,44%,54%
21-Nov-17,-18,27%,45%,43%,56%
20-Nov-17,-21,26%,47%,41%,57%
17-Nov-17,-19,28%,47%,42%,56%
16-Nov-17,-22,26%,48%,41%,57%
15-Nov-17,-16,29%,45%,45%,53%
14-Nov-17,-17,28%,45%,44%,54%
13-Nov-17,-14,30%,44%,46%,53%
10-Nov-17,-18,29%,47%,44%,55%
09-Nov-17,-21,27%,48%,43%,56%
08-Nov-17,-23,26%,49%,42%,57%
07-Nov-17,-21,27%,48%,43%,56%
06-Nov-17,-19,28%,47%,44%,55%
03-Nov-17,-19,28%,47%,43%,55%
02-Nov-17,-19,29%,48%,43%,56%
01-Nov-17,-19,28%,47%,43%,55%
31-Oct-17,-17,28%,45%,44%,54%
30-Oct-17,-18,28%,46%,44%,54%
27-Oct-17,-20,27%,47%,43%,55%
26-Oct-17,-18,28%,46%,43%,55%
25-Oct-17,-20,27%,47%,42%,56%
24-Oct-17,-20,27%,47%,43%,56%
23-Oct-17,-23,27%,50%,41%,58%
20-Oct-17,-19,27%,46%,43%,55%
19-Oct-17,-22,25%,47%,41%,57%
18-Oct-17,-19,26%,45%,43%,55%
17-Oct-17,-21,26%,47%,41%,57%
16-Oct-17,-20,27%,47%,43%,56%
13-Oct-17,-20,27%,47%,43%,55%
12-Oct-17,-19,27%,46%,44%,55%
11-Oct-17,-18,28%,46%,43%,56%
10-Oct-17,-20,27%,47%,43%,56%
09-Oct-17,-19,28%,47%,44%,55%
06-Oct-17,-16,29%,45%,46%,53%
05-Oct-17,-18,28%,46%,45%,54%
04-Oct-17,-17,29%,46%,44%,55%
03-Oct-17,-21,27%,48%,42%,57%
02-Oct-17,-21,28%,49%,42%,57%
29-Sep-17,-17,29%,46%,45%,54%
28-Sep-17,-22,26%,48%,43%,56%
27-Sep-17,-21,26%,47%,43%,56%
26-Sep-17,-22,25%,47%,42%,56%
25-Sep-17,-18,27%,45%,44%,54%
22-Sep-17,-17,27%,44%,43%,55%
21-Sep-17,-16,28%,44%,43%,55%
20-Sep-17,-18,27%,45%,42%,56%
19-Sep-17,-18,27%,45%,43%,55%
18-Sep-17,-20,26%,46%,44%,55%
15-Sep-17,-20,25%,45%,43%,55%
14-Sep-17,-18,26%,44%,44%,54%
13-Sep-17,-19,26%,45%,42%,56%
12-Sep-17,-17,26%,43%,44%,54%
11-Sep-17,-18,27%,45%,44%,55%
08-Sep-17,-16,29%,45%,46%,53%
07-Sep-17,-15,30%,45%,45%,54%
06-Sep-17,-14,29%,43%,45%,53%
05-Sep-17,-16,28%,44%,44%,54%
04-Sep-17,-18,26%,44%,43%,55%
01-Sep-17,-17,27%,44%,42%,56%
31-Aug-17,-20,26%,46%,41%,58%
30-Aug-17,-22,25%,47%,41%,58%
29-Aug-17,-21,26%,47%,41%,58%
28-Aug-17,-21,26%,47%,42%,57%
25-Aug-17,-20,26%,46%,42%,56%
24-Aug-17,-21,26%,47%,42%,56%
23-Aug-17,-23,24%,47%,41%,57%
22-Aug-17,-21,26%,47%,43%,56%
21-Aug-17,-21,25%,46%,42%,57%
18-Aug-17,-22,26%,48%,42%,57%
17-Aug-17,-25,24%,49%,40%,59%
16-Aug-17,-23,25%,48%,40%,58%
15-Aug-17,-19,26%,45%,42%,57%
14-Aug-17,-18,26%,44%,43%,55%
11-Aug-17,-15,29%,44%,45%,53%
10-Aug-17,-18,27%,45%,44%,54%
09-Aug-17,-20,27%,47%,42%,56%
08-Aug-17,-23,26%,49%,41%,57%
07-Aug-17,-23,25%,48%,41%,57%
04-Aug-17,-24,25%,49%,39%,59%
03-Aug-17,-26,23%,49%,39%,60%
02-Aug-17,-25,25%,50%,38%,62%
01-Aug-17,-24,25%,49%,39%,61%
31-Jul-17,-23,26%,49%,39%,61%
28-Jul-17,-23,25%,48%,41%,59%
27-Jul-17,-24,25%,49%,41%,59%
26-Jul-17,-22,25%,47%,43%,57%
25-Jul-17,-22,25%,47%,42%,58%
24-Jul-17,-19,27%,46%,44%,56%
21-Jul-17,-21,26%,47%,43%,57%
20-Jul-17,-23,26%,49%,43%,57%
19-Jul-17,-23,25%,48%,42%,58%
18-Jul-17,-19,28%,47%,43%,57%
17-Jul-17,-18,28%,46%,43%,57%
14-Jul-17,-21,27%,48%,43%,57%
13-Jul-17,-19,27%,46%,44%,56%
12-Jul-17,-20,26%,46%,45%,55%
11-Jul-17,-18,27%,45%,45%,55%
10-Jul-17,-17,28%,45%,45%,55%
07-Jul-17,-17,28%,45%,45%,55%
06-Jul-17,-19,27%,46%,44%,56%
,,,,,
04-Jul-17,-21,27%,48%,44%,56%
03-Jul-17,-19,27%,46%,44%,56%
30-Jun-17,-16,29%,45%,46%,54%
29-Jun-17,-15,29%,44%,45%,55%
28-Jun-17,-11,31%,42%,46%,54%
27-Jun-17,-13,29%,42%,46%,54%
26-Jun-17,-15,29%,44%,47%,53%
23-Jun-17,-15,29%,44%,46%,54%
22-Jun-17,-13,30%,43%,46%,54%
21-Jun-17,-14,29%,43%,45%,55%
20-Jun-17,-12,30%,42%,47%,53%
19-Jun-17,-10,31%,41%,48%,51%
16-Jun-17,-11,31%,42%,50%,50%
15-Jun-17,-14,30%,44%,47%,53%
14-Jun-17,-16,29%,45%,45%,55%
13-Jun-17,-18,28%,46%,43%,57%
12-Jun-17,-14,30%,44%,46%,54%
09-Jun-17,-16,29%,45%,46%,54%
08-Jun-17,-14,29%,43%,46%,54%
07-Jun-17,-17,27%,44%,45%,55%
06-Jun-17,-16,28%,44%,46%,54%
05-Jun-17,-19,27%,46%,46%,54%
02-Jun-17,-19,28%,47%,44%,56%
01-Jun-17,-20,27%,47%,43%,57%
31-May-17,-18,28%,46%,43%,57%
30-May-17,-17,29%,46%,44%,56%
29-May-17,-16,29%,45%,45%,55%
26-May-17,-13,30%,43%,46%,54%
25-May-17,-10,31%,41%,48%,52%
24-May-17,-11,31%,42%,48%,52%
23-May-17,-15,29%,44%,46%,54%
22-May-17,-18,28%,46%,44%,56%
19-May-17,-18,28%,46%,44%,56%
18-May-17,-20,27%,47%,44%,55%
17-May-17,-19,27%,46%,44%,56%
16-May-17,-21,26%,47%,43%,57%
15-May-17,-19,27%,46%,44%,56%
12-May-17,-19,27%,46%,45%,55%
11-May-17,-15,28%,43%,48%,52%
10-May-17,-16,28%,44%,47%,53%
09-May-17,-15,29%,44%,46%,54%
08-May-17,-15,29%,44%,45%,54%
05-May-17,-14,29%,43%,46%,54%
04-May-17,-11,30%,41%,48%,52%
03-May-17,-9,30%,39%,49%,51%
02-May-17,-9,31%,40%,48%,52%
01-May-17,-12,30%,42%,47%,53%
28-Apr-17,-10,32%,42%,47%,53%
27-Apr-17,-15,29%,44%,45%,55%
26-Apr-17,-11,31%,42%,46%,54%
25-Apr-17,-12,30%,42%,47%,53%
24-Apr-17,-7,32%,39%,51%,49%
21-Apr-17,-9,31%,40%,49%,51%
20-Apr-17,-7,32%,39%,49%,51%
19-Apr-17,-9,31%,40%,48%,52%
18-Apr-17,-7,32%,39%,50%,50%
17-Apr-17,-9,30%,39%,50%,50%
14-Apr-17,-12,30%,42%,48%,52%
13-Apr-17,-13,29%,42%,48%,52%
12-Apr-17,-14,29%,43%,47%,53%
11-Apr-17,-15,28%,43%,47%,53%
10-Apr-17,-19,27%,46%,44%,56%
07-Apr-17,-17,28%,45%,45%,55%
06-Apr-17,-18,27%,45%,46%,54%
05-Apr-17,-15,28%,43%,46%,54%
04-Apr-17,-19,27%,46%,43%,57%
03-Apr-17,-19,27%,46%,42%,58%
31-Mar-17,-19,28%,47%,43%,57%
30-Mar-17,-17,27%,44%,44%,56%
29-Mar-17,-17,27%,44%,44%,56%
28-Mar-17,-17,27%,44%,45%,55%
27-Mar-17,-16,28%,44%,45%,54%
24-Mar-17,-17,29%,46%,44%,56%
23-Mar-17,-14,30%,44%,47%,53%
22-Mar-17,-14,30%,44%,46%,54%
21-Mar-17,-7,33%,40%,50%,50%
20-Mar-17,-7,35%,42%,49%,51%
17-Mar-17,-9,34%,43%,48%,52%
16-Mar-17,-13,31%,44%,47%,53%
15-Mar-17,-16,28%,44%,45%,54%
14-Mar-17,-13,30%,43%,46%,53%
13-Mar-17,-11,31%,42%,47%,53%
10-Mar-17,-11,32%,43%,48%,52%
09-Mar-17,-8,33%,41%,49%,51%
08-Mar-17,-7,35%,42%,49%,51%
07-Mar-17,-1,37%,38%,51%,49%
06-Mar-17,-1,37%,38%,52%,48%
03-Mar-17,1,37%,36%,53%,47%
02-Mar-17,-3,36%,39%,52%,48%
01-Mar-17,-6,34%,40%,50%,50%
28-Feb-17,-7,34%,41%,50%,50%
27-Feb-17,-4,35%,39%,51%,49%
24-Feb-17,-1,37%,38%,53%,47%
23-Feb-17,0,38%,38%,52%,47%
22-Feb-17,-2,37%,39%,51%,49%
21-Feb-17,-3,37%,40%,50%,50%
20-Feb-17,-4,35%,39%,51%,49%
17-Feb-17,2,39%,37%,55%,45%
16-Feb-17,2,38%,36%,55%,45%
15-Feb-17,-1,37%,38%,53%,47%
14-Feb-17,-3,36%,39%,52%,48%
13-Feb-17,-3,37%,40%,52%,48%
10-Feb-17,-2,38%,40%,52%,48%
09-Feb-17,-1,38%,39%,53%,47%
08-Feb-17,-2,37%,39%,53%,47%
07-Feb-17,0,37%,37%,53%,47%
06-Feb-17,1,39%,38%,53%,47%
03-Feb-17,3,41%,38%,54%,46%
02-Feb-17,0,40%,40%,53%,47%
01-Feb-17,0,38%,38%,53%,47%
31-Jan-17,-6,35%,41%,51%,49%
30-Jan-17,-1,36%,37%,53%,47%
27-Jan-17,4,40%,36%,55%,45%
26-Jan-17,13,44%,31%,59%,41%
25-Jan-17,9,42%,33%,57%,43%
24-Jan-17,9,42%,33%,57%,43%
23-Jan-17,4,39%,35%,55%,44%
20-Jan-17,2,38%,36%,56%,44%